"category","total_revenue","total_orders"
"health_beauty","1190506.14","8672"
"watches_gifts","1152106.50","5496"
"bed_bath_table","1121886.54","10722"
"sports_leisure","906690.78","7572"
"computers_accessories","787565.98","6551"
"furniture_decor","623468.29","6341"
"cool_stuff","602867.19","3575"
"housewares","563354.84","5777"
"auto","555635.14","3833"
"toys","463559.67","3809"
"garden_tools","426392.73","3468"
"baby","393670.28","2816"
"perfumery","378643.70","3094"
"telephony","294421.19","4114"
"stationery","217793.36","2263"
"office_furniture","214642.12","1252"
"computers","201025.19","176"
"pet_shop","198619.03","1689"
"musical_instruments","180954.79","613"
"small_appliances","177645.96","613"
"fashion_bags_accessories","146659.75","1830"
"electronics","146493.10","2518"
"consoles_games","146396.35","1024"
"luggage_accessories","135036.15","1019"
"construction_tools_construction","130217.42","736"
"home_appliances_2","109577.16","229"
"home_appliances","78510.59","743"
"home_construction","74135.61","483"
"agro_industry_and_commerce","62728.31","177"
"furniture_living_room","60184.64","420"
"home_confort","56186.21","395"
"audio","49796.28","348"
"small_appliances_home_oven_and_coffee","46589.56","72"
"air_conditioning","45652.73","250"
"books_general_interest","43621.64","497"
"kitchen_dining_laundry_garden_furniture","40658.20","240"
"construction_tools_lights","36586.53","241"
"industry_commerce_and_business","36034.26","230"
"construction_tools_safety","36018.07","161"
"fixed_telephony","34314.24","214"
"market_place","26941.82","280"
"food","26601.18","442"
"art","23622.27","199"
"fashion_shoes","22868.87","236"
"costruction_tools_garden","22401.35","191"
"books_technical","18834.34","257"
"furniture_bedroom","17039.41","92"
"drinks","16596.90","289"
"signaling_and_security","15312.19","137"
"costruction_tools_tools","14448.35","97"
"food_drink","13653.13","224"
"fashion_male_clothing","10016.53","109"
"fashion_underwear_beach","9018.56","118"
"christmas_supplies","7632.60","125"
"tablets_printing_image","7172.61","79"
"cine_photo","6478.82","63"
"music","6034.35","38"
"dvds_blu_ray","5899.51","58"
"books_imported","4440.86","51"
"furniture_mattress_and_upholstery","4323.38","37"
"party_supplies","4264.59","38"
"fashio_female_clothing","2498.91","38"
"fashion_sport","1974.82","26"
"la_cuisine","1914.99","13"
"arts_and_craftmanship","1814.01","23"
"diapers_and_hygiene","1187.79","25"
"flowers","962.94","29"
"home_comfort_2","682.87","24"
"cds_dvds_musicals","640.00","12"
"fashion_childrens_clothes","519.95","7"
"security_and_services","283.29","2"
