"state","total_revenue","num_customers"
"São Paulo","4788179.21","39352"
"Rio de Janeiro","1659244.04","12001"
"Minas Gerais","1467158.46","11048"
"Rio Grande do Sul","686833.28","5194"
"Paraná","621949.15","4779"
"Santa Catarina","479043.32","3479"
"Bahia","461390.68","3179"
"Goiás","262488.75","1905"
"Distrito Federal","261018.07","1869"
"Espírito Santo","254789.87","1934"
"Pernambuco","244332.34","1571"
"Ceará","207452.07","1259"
"Pará","168408.44","926"
"Mato Grosso","140055.42","862"
"Maranhão","111528.67","704"
"Mato Grosso do Sul","109687.33","683"
"Paraíba","106679.09","505"
"Rio Grande do Norte","79208.17","462"
"Piauí","78633.39","467"
"Alagoas","75937.92","391"
"Sergipe","52983.54","329"
"Tocantins","46920.06","269"
"Rondônia","44804.18","232"
"Amazonas","20942.36","141"
"AC","15028.88","76"
"Amapá","11971.27","67"
"RR","6259.45","41"
