Categories, Total_Orders , Total_Revenue 
Health Beauty," 8,672 "," R$ 1,190,506.14 "
Watches Gifts," 5,496 "," R$ 1,152,106.50 "
Bed Bath Table," 10,722 "," R$ 1,121,886.54 "
Sports Leisure," 7,572 "," R$ 906,690.78 "
Computers Accessories," 6,551 "," R$ 787,565.98 "
Furniture Decor," 6,341 "," R$ 623,468.29 "
Cool Stuff," 3,575 "," R$ 602,867.19 "
Housewares," 5,777 "," R$ 563,354.84 "
Auto," 3,833 "," R$ 555,635.14 "
Toys," 3,809 "," R$ 463,559.67 "
Grand Total," 62,348 "," R$ 7,967,641.07 "
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
